Frequency (Hz)	Level (dB)
86,132812	-57,809078
172,265625	-62,986927
258,398438	-64,727951
344,531250	-62,638184
430,664062	-61,733795
516,796875	-64,130333
602,929688	-69,028908
689,062500	-75,001068
775,195312	-79,902481
861,328125	-77,762817
947,460938	-74,965881
1033,593750	-77,399986
1119,726562	-81,030930
1205,859375	-79,909416
1291,992188	-82,116837
1378,125000	-84,493286
1464,257812	-86,355537
1550,390625	-89,246773
1636,523438	-91,894035
1722,656250	-92,746048
1808,789062	-92,571579
1894,921875	-90,790726
1981,054688	-89,384689
2067,187500	-88,635384
2153,320312	-87,896469
2239,453125	-90,879936
2325,585938	-94,103394
2411,718750	-96,051323
2497,851562	-96,551674
2583,984375	-95,639687
2670,117188	-94,521553
2756,250000	-93,064407
2842,382812	-93,365852
2928,515625	-93,926888
3014,648438	-94,002083
3100,781250	-95,459961
3186,914062	-97,294136
3273,046875	-98,738304
3359,179688	-99,300446
3445,312500	-99,471970
3531,445312	-99,124374
3617,578125	-98,879318
3703,710938	-97,201920
3789,843750	-95,932419
3875,976562	-96,384872
3962,109375	-97,165779
4048,242188	-98,082436
4134,375000	-99,119301
4220,507812	-100,068741
4306,640625	-100,342979
4392,773438	-99,910065
4478,906250	-99,936485
4565,039062	-99,984726
4651,171875	-100,362938
4737,304688	-100,482506
4823,437500	-100,406631
4909,570312	-100,354553
4995,703125	-100,448341
5081,835938	-101,232964
5167,968750	-100,945694
5254,101562	-101,255226
5340,234375	-101,748932
5426,367188	-101,692398
5512,500000	-101,447548
5598,632812	-101,610718
5684,765625	-101,425392
5770,898438	-101,370880
5857,031250	-101,497398
5943,164062	-101,856590
6029,296875	-101,910141
6115,429688	-101,386986
6201,562500	-101,300446
6287,695312	-101,446053
6373,828125	-101,216919
6459,960938	-100,873116
6546,093750	-100,523537
6632,226562	-100,481773
6718,359375	-101,121567
6804,492188	-101,023750
6890,625000	-101,949181
6976,757812	-101,775940
7062,890625	-101,857262
7149,023438	-101,947731
7235,156250	-101,974213
7321,289062	-102,053391
7407,421875	-102,123566
7493,554688	-102,305809
7579,687500	-102,437988
7665,820312	-102,385124
7751,953125	-102,556755
7838,085938	-102,557220
